q_deg,left_body_intersection_mm3,ankle_y_mm,ankle_z_mm,leg_angle_from_down_vertical_deg,left_foot_raw_ground_gap_mm_fixed_body
-25.0,8.243743862,-14.818121847,-70.343819920,-14.250626597,-8.992359970
-22.0,3.208538600,-11.744334520,-71.039382319,-11.250626597,-8.799231764
-21.0,1.590518992,-10.712166505,-71.235357235,-10.250626597,-8.680134716
-20.1,0.157860634,-9.780416419,-71.396308914,-9.350626597,-8.549598709
-20.0,0.000000000,-9.676735460,-71.413288487,-9.250626597,-8.533730700
-15.0,0.000000000,-4.461703273,-72.030586053,-4.250626597,-7.393957250
-10.0,0.000000000,0.787285170,-72.191014612,0.749373403,-5.581713984
-5.0,0.000000000,6.030281898,-71.893353206,5.749373403,-3.110793167
-1.0,0.000000000,10.193541555,-71.326804806,9.749373403,-0.672280801
0.0,0.000000000,11.227384539,-71.139867217,10.749373403,0.000000000
0.1,0.075546011,11.330585926,-71.120181669,10.849373403,-0.029150404
1.0,0.772532309,12.257807553,-70.934915050,11.749373403,-0.280391044
2.0,1.583738337,13.284496720,-70.712010738,12.749373403,-0.536033763
5.0,4.261463291,16.339040004,-69.936291128,15.749373403,-1.153731090
