peak_time_s,peak_angle_video_deg,peak_side,zero_cross_time_s,gyro_rate_at_zero_dps
5.674,-12.2203767619,-1,5.92881,93.5077
6.160,11.9988780000,1,6.40584,-87.1650
6.626,-9.8637110000,-1,6.83660,81.1876
7.069,10.3232068570,1,7.30361,-77.3411
7.518,-8.0499333810,-1,7.73819,70.3103
7.961,8.4596366670,1,8.18597,-68.2975
8.369,-6.0861940950,-1,8.53915,61.8564
8.734,6.8746298570,1,8.93379,-58.6281
9.074,-4.7884833810,-1,9.23902,51.8235
9.439,5.6567530950,1,9.62409,-48.3175
9.756,-3.7729447620,-1,9.91424,42.0597
