series,run_id,source_probe_index,q_probe_schedule_id,planned_probe_index,q_target_mA_s,q_effective_mA_s,arrival_side,h_prev_deg,zero_cross_rate_dps
V55,V55_run1,1,0,1,0.5,0.516,-1,7.68,-61.54
V55,V55_run1,2,0,2,0.5,0.501,1,7.19,60.28
V55,V55_run1,3,0,3,1.0,1.024,-1,6.65,-55.01
V55,V55_run1,4,0,4,1.0,1.078,1,6.44,57.78
V55,V55_run1,5,0,5,1.5,1.578,-1,6.35,-58.98
V55,V55_run1,6,0,6,1.5,1.542,1,6.61,62.91
V55,V55_run2,1,1,1,1.0,1.011,-1,5.69,-56.48
V55,V55_run2,2,1,2,1.5,1.546,1,6.25,57.96
V55,V55_run2,3,1,3,1.5,1.574,-1,6.54,-59.71
V55,V55_run2,4,1,4,0.5,0.554,1,6.88,63.94
V55,V55_run2,5,1,5,0.5,0.513,-1,7.18,-60.57
V55,V55_run2,6,1,6,1.0,1.009,1,7.11,60.89
V55,V55_run3,1,2,1,1.5,1.564,-1,6.18,-60.14
V55,V55_run3,2,2,2,1.0,1.081,1,6.96,63.94
V55,V55_run3,3,2,3,0.5,0.511,-1,7.25,-62.46
V55,V55_run3,4,2,4,1.5,1.563,1,7.04,60.65
V55,V55_run3,5,2,5,1.0,1.019,-1,6.94,-62.58
V55,V55_run3,6,2,6,0.5,0.562,1,7.11,66.08
V56,V56_run1,1,0,1,0.5,0.509,-1,8.32,-74.38
V56,V56_run1,2,0,2,0.5,0.512,1,9.01,71.92
V56,V56_run1,3,0,3,1.0,1.023,-1,8.7,-68.64
V56,V56_run1,4,0,4,1.0,1.016,1,8.27,69.6
V56,V56_run1,5,0,5,1.5,1.576,-1,8.17,-68.46
V56,V56_run1,6,0,6,1.5,1.567,1,8.24,71.19
V56,V56_run2,1,1,1,1.0,1.007,-1,6.22,-59.12
V56,V56_run2,2,1,2,1.5,1.542,1,6.49,61.36
V56,V56_run2,3,1,3,1.5,1.571,-1,6.94,-63.52
V56,V56_run2,4,1,4,0.5,0.56,1,7.5,67.71
V56,V56_run2,5,1,5,0.5,0.511,-1,7.41,-65.04
V56,V56_run2,6,1,6,1.0,1.009,1,7.2,63.25
V56,V56_run3,1,2,1,1.5,1.555,-1,6.4,-63.09
V56,V56_run3,2,2,2,1.0,1.002,1,7.27,66.49
V56,V56_run3,3,2,3,0.5,0.509,-1,7.59,-64.92
V56,V56_run3,4,2,4,1.5,1.561,1,7.39,64.11
V56,V56_run3,5,2,5,1.0,1.015,-1,7.35,-66.02
V56,V56_run3,6,2,6,0.5,0.503,1,7.61,67.59
V58,V58_run1,1,0,1,0.5,0.501,-1,7.0,-64.9
V58,V58_run1,2,0,2,0.5,0.501,1,7.43,61.81
V58,V58_run1,3,0,3,1.0,1.013,-1,6.85,-58.0
V58,V58_run1,4,0,4,1.0,1.077,1,6.68,60.04
V58,V58_run1,5,0,5,1.5,1.56,-1,6.77,-60.32
V58,V58_run1,6,0,6,1.5,1.536,1,6.85,64.62
V58,V58_run2,1,1,1,1.0,1.017,-1,8.81,-66.98
V58,V58_run2,2,1,2,1.5,1.556,1,8.31,69.38
V58,V58_run2,3,1,3,1.5,1.563,-1,8.49,-71.0
V58,V58_run2,4,1,4,0.5,0.505,1,9.04,74.69
V58,V58_run2,5,1,5,0.5,0.509,-1,8.95,-70.09
V58,V58_run2,6,1,6,1.0,1.01,1,8.36,66.81
V58,V58_run3,1,2,1,1.5,1.556,-1,6.92,-67.65
V58,V58_run3,2,2,2,1.0,1.004,1,8.18,71.82
V58,V58_run3,3,2,3,0.5,0.508,-1,8.77,-69.6
V58,V58_run3,4,2,4,1.5,1.559,1,8.69,69.38
V58,V58_run3,5,2,5,1.0,1.013,-1,8.49,-68.93
V58,V58_run3,6,2,6,0.5,0.505,1,8.52,72.43
