run_id,event_id,prev_peak_side,prev_peak_deg,zero_cross_rate_dps,next_peak_deg,prev_peak_candidate_ms,next_peak_candidate_ms,zero_cross_left_sample_ms,zero_cross_right_sample_ms,zero_cross_interpolated_ms,zero_cross_linear_fraction,peak_source,zero_cross_rate_source
v61_run2_156491989_imu_free_decay,free_peak_15_to_16,-1,-12.78,94.83761421319798,13.81,5703.0,6183.0,5948.0,5969.0,5949.492385786802,0.07106598984771574,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_16_to_17,1,13.81,-88.3933918128655,-10.74,6183.0,6638.0,6435.0,6456.0,6437.824561403509,0.1345029239766082,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_17_to_18,-1,-10.74,84.6913953488372,11.53,6638.0,7088.0,6859.0,6880.0,6864.127906976744,0.2441860465116279,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_18_to_19,1,11.53,-77.60392156862746,-8.79,7088.0,7543.0,7325.0,7346.0,7335.705882352941,0.5098039215686274,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_19_to_20,-1,-8.79,73.18761904761904,9.12,7543.0,7978.0,7751.0,7774.0,7771.809523809524,0.9047619047619048,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_20_to_21,1,9.12,-67.9623404255319,-6.49,7978.0,8383.0,8203.0,8223.0,8218.744680851063,0.7872340425531915,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_21_to_22,-1,-6.49,64.30206106870229,7.68,8383.0,8757.0,8559.0,8579.0,8563.885496183206,0.24427480916030533,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_22_to_23,1,7.68,-58.152327586206894,-5.52,8757.0,9107.0,8954.0,8974.0,8962.448275862069,0.42241379310344823,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_23_to_24,-1,-5.52,53.73718181818182,6.24,9107.0,9454.0,9270.0,9290.0,9273.454545454546,0.1727272727272727,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_24_to_25,1,6.24,-47.1224,-4.11,9454.0,9788.0,9650.0,9670.0,9659.4,0.47,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
v61_run2_156491989_imu_free_decay,free_peak_25_to_26,-1,-4.11,43.643255813953495,5.04,9788.0,10108.0,9925.0,9946.0,9944.046511627907,0.9069767441860466,rwlog_calibration_peak_events.dynamic_hold073,rwlog_timeseries.gyro_pitch_rate_dps_linear_interpolated_at_dynamic_hold073_angle_zero
